Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
"Blood, Sweat & Tears",24GaH9tRBgZjlvOhpFuKi2,50.0,307155.0,"album rock,art rock,blues rock,bubblegum pop,classic rock,country rock,folk,folk rock,jazz rock,mellow gold,psychedelic rock,soft rock,symphonic rock,traditional folk"
The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,57.0,370631.0,"album rock,candy pop,dance rock,girl group,jangle pop,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,soft rock,synthpop"
Free,4596e2d3KmYzAeVenjCxfj,64.0,90407.0,"alternative r&b,indie soul"
The Cult,49DW3KvkyjHO35mK1JnSyS,63.0,353184.0,"album rock,alternative rock,classic rock,dance rock,glam metal,hard rock,metal,new wave,post-grunge,rock"
Toots and The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,63.0,292512.0,"reggae,rock steady,ska"
Burning Spear,6qaKS0nzGP4hfjl4aFZmEU,55.0,240548.0,"dub,reggae,rock steady,roots reggae,ska"
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,72.0,1583317.0,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,60.0,377523.0,"alternative rock,indie folk,indie rock,jam band,melancholia,modern rock,new americana,rock,roots rock,stomp and holler"
Mike Oldfield,562Od3CffWedyz2BbeYWVn,64.0,354109.0,"album rock,art rock,new age,progressive rock,symphonic rock"
Clifford Brown,1HJHwWck1EY096ea2iPAHO,49.0,80631.0,"bebop,big band,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul jazz,stride,swing,vocal jazz"
John Mayall,2ScuQMRWThcifBRIvNDFDC,52.0,241261.0,"blues,blues rock,british blues,british invasion,classic rock,country rock,electric blues,folk rock,modern blues,psychedelic rock,roots rock"
Big Black,2TXpVEw5FbzDh93tLoDm0i,49.0,51085.0,shimmer pop
